series,variant,n,k,pop,rep,f,seconds
n,ours_1,500,2,128,0,58513,0.272
n,ours_1,500,2,128,1,58453,0.274
n,ours_1,500,2,128,2,58500,0.272
n,ours_1,500,2,128,3,58404,0.284
n,ours_1,500,2,128,4,58521,0.271
n,orig_1,500,2,128,0,58529,3.4810
n,orig_1,500,2,128,1,58463,3.4388
n,orig_1,500,2,128,2,58527,3.4421
n,orig_1,500,2,128,3,58382,3.5459
n,orig_1,500,2,128,4,58488,3.5393
n,ours_16,500,2,128,0,58513,0.034
n,ours_16,500,2,128,1,58453,0.034
n,ours_16,500,2,128,2,58500,0.033
n,ours_16,500,2,128,3,58404,0.033
n,ours_16,500,2,128,4,58521,0.033
n,orig_16,500,2,128,0,58489,0.3575
n,orig_16,500,2,128,1,58452,0.3461
n,orig_16,500,2,128,2,58447,0.3542
n,orig_16,500,2,128,3,58533,0.3568
n,orig_16,500,2,128,4,58491,0.3587
n,ours_1,1000,2,128,0,238919,1.102
n,ours_1,1000,2,128,1,238866,1.138
n,ours_1,1000,2,128,2,239024,1.089
n,ours_1,1000,2,128,3,238958,1.102
n,ours_1,1000,2,128,4,238976,1.095
n,orig_1,1000,2,128,0,238952,14.1985
n,orig_1,1000,2,128,1,239076,14.0996
n,orig_1,1000,2,128,2,238917,14.1360
n,orig_1,1000,2,128,3,239003,14.1450
n,orig_1,1000,2,128,4,238987,14.1389
n,ours_16,1000,2,128,0,238919,0.141
n,ours_16,1000,2,128,1,238866,0.132
n,ours_16,1000,2,128,2,239024,0.131
n,ours_16,1000,2,128,3,238958,0.132
n,ours_16,1000,2,128,4,238976,0.132
n,orig_16,1000,2,128,0,238966,1.3404
n,orig_16,1000,2,128,1,239107,1.3276
n,orig_16,1000,2,128,2,239047,1.3358
n,orig_16,1000,2,128,3,239072,1.3427
n,orig_16,1000,2,128,4,238989,1.3614
n,ours_1,1500,2,128,0,542317,2.575
n,ours_1,1500,2,128,1,542289,2.555
n,ours_1,1500,2,128,2,542086,2.608
n,ours_1,1500,2,128,3,542345,2.531
n,ours_1,1500,2,128,4,542245,2.587
n,orig_1,1500,2,128,0,542511,32.4473
n,orig_1,1500,2,128,1,542234,32.6493
n,orig_1,1500,2,128,2,542402,32.6822
n,orig_1,1500,2,128,3,542366,32.5420
n,orig_1,1500,2,128,4,542294,32.6329
n,ours_16,1500,2,128,0,542317,0.312
n,ours_16,1500,2,128,1,542289,0.314
n,ours_16,1500,2,128,2,542086,0.314
n,ours_16,1500,2,128,3,542345,0.324
n,ours_16,1500,2,128,4,542245,0.314
n,orig_16,1500,2,128,0,542167,3.1132
n,orig_16,1500,2,128,1,542200,3.0394
n,orig_16,1500,2,128,2,542279,3.1168
n,orig_16,1500,2,128,3,542232,3.0669
n,orig_16,1500,2,128,4,542304,3.0029
n,ours_1,2000,2,128,0,968996,4.858
n,ours_1,2000,2,128,1,968866,4.777
n,ours_1,2000,2,128,2,968999,4.850
n,ours_1,2000,2,128,3,969191,4.790
n,ours_1,2000,2,128,4,968995,4.776
n,orig_1,2000,2,128,0,968886,58.9327
n,orig_1,2000,2,128,1,968952,59.5806
n,orig_1,2000,2,128,2,969027,59.2706
n,orig_1,2000,2,128,3,969176,59.5926
n,orig_1,2000,2,128,4,969117,59.0782
n,ours_16,2000,2,128,0,968996,0.600
n,ours_16,2000,2,128,1,968866,0.599
n,ours_16,2000,2,128,2,968999,0.589
n,ours_16,2000,2,128,3,969191,0.581
n,ours_16,2000,2,128,4,968995,0.593
n,orig_16,2000,2,128,0,969107,5.4493
n,orig_16,2000,2,128,1,968948,5.5487
n,orig_16,2000,2,128,2,969009,5.4731
n,orig_16,2000,2,128,3,969014,5.5997
n,orig_16,2000,2,128,4,968991,5.8335
n,ours_1,3000,2,128,0,2193619,12.340
n,ours_1,3000,2,128,1,2193061,11.980
n,ours_1,3000,2,128,2,2193408,11.946
n,ours_1,3000,2,128,3,2193606,12.024
n,ours_1,3000,2,128,4,2192860,12.085
n,orig_1,3000,2,128,0,2193560,137.9873
n,orig_1,3000,2,128,1,2192998,138.5449
n,orig_1,3000,2,128,2,2193607,138.4339
n,orig_1,3000,2,128,3,2193118,137.6351
n,orig_1,3000,2,128,4,2193515,138.0067
n,ours_16,3000,2,128,0,2193619,1.475
n,ours_16,3000,2,128,1,2193061,1.471
n,ours_16,3000,2,128,2,2193408,1.473
n,ours_16,3000,2,128,3,2193606,1.472
n,ours_16,3000,2,128,4,2192860,1.477
n,orig_16,3000,2,128,0,2192811,12.6747
n,orig_16,3000,2,128,1,2193304,12.5854
n,orig_16,3000,2,128,2,2193533,12.6267
n,orig_16,3000,2,128,3,2193174,12.7386
n,orig_16,3000,2,128,4,2193424,12.7233
n,ours_1,4000,2,128,0,3913110,23.672
n,ours_1,4000,2,128,1,3913137,23.495
n,ours_1,4000,2,128,2,3913236,23.757
n,ours_1,4000,2,128,3,3913360,23.765
n,ours_1,4000,2,128,4,3912716,23.515
n,orig_1,4000,2,128,0,3913488,255.8741
n,orig_1,4000,2,128,1,3913328,255.6752
n,orig_1,4000,2,128,2,3913171,256.3392
n,orig_1,4000,2,128,3,3913362,255.0007
n,orig_1,4000,2,128,4,3913014,261.5485
n,ours_16,4000,2,128,0,3913110,2.829
n,ours_16,4000,2,128,1,3913137,2.786
n,ours_16,4000,2,128,2,3913236,2.769
n,ours_16,4000,2,128,3,3913360,2.794
n,ours_16,4000,2,128,4,3912716,2.778
n,orig_16,4000,2,128,0,3912935,23.2429
n,orig_16,4000,2,128,1,3913430,23.5287
n,orig_16,4000,2,128,2,3913161,23.2407
n,orig_16,4000,2,128,3,3912924,23.9190
n,orig_16,4000,2,128,4,3913244,23.3598
n,ours_1,5000,2,128,0,6129392,43.030
n,ours_1,5000,2,128,1,6128385,41.139
n,ours_1,5000,2,128,2,6129082,40.167
n,ours_1,5000,2,128,3,6128098,40.474
n,ours_1,5000,2,128,4,6129298,40.290
n,orig_1,5000,2,128,0,6128997,430.7297
n,orig_1,5000,2,128,1,6129078,416.6180
n,orig_1,5000,2,128,2,6128839,423.0301
n,orig_1,5000,2,128,3,6128314,462.9299
n,orig_1,5000,2,128,4,6128445,406.5913
n,ours_16,5000,2,128,0,6129392,4.610
n,ours_16,5000,2,128,1,6128385,4.562
n,ours_16,5000,2,128,2,6129082,4.575
n,ours_16,5000,2,128,3,6128098,4.580
n,ours_16,5000,2,128,4,6129298,4.557
n,orig_16,5000,2,128,0,6128258,36.5013
n,orig_16,5000,2,128,1,6129162,36.3414
n,orig_16,5000,2,128,2,6129323,36.2069
n,orig_16,5000,2,128,3,6129091,36.4688
n,orig_16,5000,2,128,4,6128483,36.2611
n,ours_1,500,3,128,0,50611,0.389
n,ours_1,500,3,128,1,50507,0.387
n,ours_1,500,3,128,2,50651,0.399
n,ours_1,500,3,128,3,50557,0.389
n,ours_1,500,3,128,4,50629,0.394
n,orig_1,500,3,128,0,50653,5.8148
n,orig_1,500,3,128,1,50605,5.7757
n,orig_1,500,3,128,2,50639,5.8025
n,orig_1,500,3,128,3,50589,5.7757
n,orig_1,500,3,128,4,50555,5.7932
n,ours_16,500,3,128,0,50611,0.048
n,ours_16,500,3,128,1,50507,0.048
n,ours_16,500,3,128,2,50651,0.049
n,ours_16,500,3,128,3,50557,0.048
n,ours_16,500,3,128,4,50629,0.048
n,orig_16,500,3,128,0,50589,0.6077
n,orig_16,500,3,128,1,50645,0.6099
n,orig_16,500,3,128,2,50593,0.6235
n,orig_16,500,3,128,3,50643,0.6095
n,orig_16,500,3,128,4,50603,0.6273
n,ours_1,1000,3,128,0,208289,1.637
n,ours_1,1000,3,128,1,208430,1.628
n,ours_1,1000,3,128,2,208359,1.778
n,ours_1,1000,3,128,3,208378,1.752
n,ours_1,1000,3,128,4,208357,1.636
n,orig_1,1000,3,128,0,208393,25.7383
n,orig_1,1000,3,128,1,208455,25.1193
n,orig_1,1000,3,128,2,208403,25.2411
n,orig_1,1000,3,128,3,208489,25.4674
n,orig_1,1000,3,128,4,208305,27.1961
n,ours_16,1000,3,128,0,208289,0.208
n,ours_16,1000,3,128,1,208430,0.212
n,ours_16,1000,3,128,2,208359,0.213
n,ours_16,1000,3,128,3,208378,0.222
n,ours_16,1000,3,128,4,208357,0.210
n,orig_16,1000,3,128,0,208509,2.5447
n,orig_16,1000,3,128,1,208297,2.6892
n,orig_16,1000,3,128,2,208387,2.6045
n,orig_16,1000,3,128,3,208365,2.5483
n,orig_16,1000,3,128,4,208481,2.5898
n,ours_1,1500,3,128,0,474439,4.143
n,ours_1,1500,3,128,1,474479,4.299
n,ours_1,1500,3,128,2,474351,4.105
n,ours_1,1500,3,128,3,474431,4.004
n,ours_1,1500,3,128,4,474466,3.996
n,orig_1,1500,3,128,0,474405,60.0623
n,orig_1,1500,3,128,1,474389,59.2530
n,orig_1,1500,3,128,2,474427,59.7244
n,orig_1,1500,3,128,3,474580,59.4802
n,orig_1,1500,3,128,4,474427,59.7162
n,ours_16,1500,3,128,0,474439,0.509
n,ours_16,1500,3,128,1,474479,0.507
n,ours_16,1500,3,128,2,474351,0.522
n,ours_16,1500,3,128,3,474431,0.506
n,ours_16,1500,3,128,4,474466,0.502
n,orig_16,1500,3,128,0,474415,5.7765
n,orig_16,1500,3,128,1,474481,5.8890
n,orig_16,1500,3,128,2,474555,5.9696
n,orig_16,1500,3,128,3,474393,5.8855
n,orig_16,1500,3,128,4,474439,5.9323
n,ours_1,2000,3,128,0,849498,7.822
n,ours_1,2000,3,128,1,849376,7.945
n,ours_1,2000,3,128,2,849324,7.846
n,ours_1,2000,3,128,3,849526,7.869
n,ours_1,2000,3,128,4,849260,7.864
n,orig_1,2000,3,128,0,849300,109.9471
n,orig_1,2000,3,128,1,849458,110.3375
n,orig_1,2000,3,128,2,849310,109.6806
n,orig_1,2000,3,128,3,849190,110.8831
n,orig_1,2000,3,128,4,849430,109.9536
n,ours_16,2000,3,128,0,849498,0.991
n,ours_16,2000,3,128,1,849376,0.979
n,ours_16,2000,3,128,2,849324,0.989
n,ours_16,2000,3,128,3,849526,0.988
n,ours_16,2000,3,128,4,849260,1.007
n,orig_16,2000,3,128,0,849248,10.8505
n,orig_16,2000,3,128,1,849488,12.9814
n,orig_16,2000,3,128,2,849379,11.1277
n,orig_16,2000,3,128,3,849362,10.9293
n,orig_16,2000,3,128,4,849582,10.8918
n,ours_1,3000,3,128,0,1926460,21.130
n,ours_1,3000,3,128,1,1926530,21.187
n,ours_1,3000,3,128,2,1926942,21.155
n,ours_1,3000,3,128,3,1926796,21.336
n,ours_1,3000,3,128,4,1926828,21.050
n,orig_1,3000,3,128,0,1926162,255.4594
n,orig_1,3000,3,128,1,1926920,258.9800
n,orig_1,3000,3,128,2,1926960,257.8780
n,orig_1,3000,3,128,3,1926930,257.2357
n,orig_1,3000,3,128,4,1926949,255.6123
n,ours_16,3000,3,128,0,1926460,2.424
