series,n,k,pop,run,gpu_f,gpu_s,cpu_f,cpu_s
n128,1000,3,128,1,208163,0.030,208163,0.954
n128,1000,3,128,2,208203,0.029,208203,0.798
n128,1000,3,128,3,208117,0.028,208117,0.794
n128,2000,3,128,1,848678,0.084,848678,3.923
n128,2000,3,128,2,848640,0.083,848640,3.817
n128,2000,3,128,3,848558,0.084,848558,3.807
n128,4000,3,128,1,3439878,0.287,3439878,17.393
n128,4000,3,128,2,3440016,0.285,3440016,17.499
n128,4000,3,128,3,3440048,0.284,3440048,17.440
n128,6000,3,128,1,7783835,0.654,7783835,40.561
n128,6000,3,128,2,7782975,0.646,7782975,40.631
n128,6000,3,128,3,7784303,0.652,7784303,40.523
n128,8000,3,128,1,13885224,1.133,13885224,74.284
n128,8000,3,128,2,13885632,1.150,13885632,73.927
n128,8000,3,128,3,13884476,1.149,13884476,73.702
n128,12000,3,128,1,31366495,2.774,31366495,172.098
n128,12000,3,128,2,31367471,2.758,31367471,171.552
n128,12000,3,128,3,31367193,2.772,31367193,171.897
n128,16000,3,128,1,55891269,5.139,55891269,313.706
n128,16000,3,128,2,55895019,5.114,55895019,313.086
n128,16000,3,128,3,55894717,5.140,55894717,312.347
n128,24000,3,128,1,126116113,12.181,126116113,730.505
n128,24000,3,128,2,126114263,12.116,126114263,724.967
n128,24000,3,128,3,126113609,12.281,126113609,726.622
n128,32000,3,128,1,224579124,22.833,224579124,1319.466
n128,32000,3,128,2,224576360,22.787,224576360,1317.198
n128,32000,3,128,3,224576552,22.952,224576552,1315.222
n1024,1000,3,1024,1,207994,0.135,207994,6.085
n1024,1000,3,1024,2,208135,0.135,208135,6.064
n1024,1000,3,1024,3,208077,0.135,208077,6.058
n1024,2000,3,1024,1,848343,0.501,848343,29.164
n1024,2000,3,1024,2,848386,0.503,848386,29.077
n1024,2000,3,1024,3,848376,0.502,848376,29.132
n1024,4000,3,1024,1,3439156,2.063,3439156,132.721
n1024,4000,3,1024,2,3439534,2.062,3439534,132.332
n1024,4000,3,1024,3,3439316,2.062,3439316,132.457
n1024,6000,3,1024,1,7783307,4.651,7783307,312.355
n1024,6000,3,1024,2,7783301,4.652,7783301,311.788
n1024,6000,3,1024,3,7783235,4.650,7783235,311.430
n1024,8000,3,1024,1,13885054,8.334,13885054,570.439
n1024,8000,3,1024,2,13884300,8.330,13884300,570.050
n1024,8000,3,1024,3,13884386,8.330,13884386,573.868
n1024,12000,3,1024,1,31365709,19.473,31365709,1337.387
n1024,12000,3,1024,2,31364949,19.453,31364949,1334.285
n1024,12000,3,1024,3,31366669,19.498,31366669,1333.349
pop2000,2000,3,32,1,849004,0.057,849004,0.972
pop2000,2000,3,32,2,849190,0.057,849190,0.976
pop2000,2000,3,32,3,848794,0.057,848794,0.972
pop2000,2000,3,64,1,848628,0.059,848628,1.895
pop2000,2000,3,64,2,848832,0.058,848832,1.865
pop2000,2000,3,64,3,849046,0.059,849046,1.898
pop2000,2000,3,128,1,848678,0.083,848678,3.846
pop2000,2000,3,128,2,848640,0.083,848640,3.729
pop2000,2000,3,128,3,848558,0.084,848558,3.724
pop2000,2000,3,256,1,848196,0.145,848196,7.401
pop2000,2000,3,256,2,848526,0.145,848526,7.367
pop2000,2000,3,256,3,848477,0.144,848477,7.382
pop2000,2000,3,512,1,848410,0.277,848410,14.642
pop2000,2000,3,512,2,848595,0.276,848595,14.551
pop2000,2000,3,512,3,848568,0.278,848568,14.592
pop2000,2000,3,1024,1,848343,0.504,848343,29.129
pop2000,2000,3,1024,2,848386,0.502,848386,29.232
pop2000,2000,3,1024,3,848376,0.504,848376,29.199
