n,k,graph_seed,pop,run,budget_s,record
1000,3,7,1024,1,0.25,207891
1000,3,7,1024,1,0.5,207869
1000,3,7,1024,1,1,207841
1000,3,7,1024,1,2,207832
1000,3,7,1024,1,5,207818
1000,3,7,1024,1,10,207818
1000,3,7,1024,2,0.25,207930
1000,3,7,1024,2,0.5,207865
1000,3,7,1024,2,1,207825
1000,3,7,1024,2,2,207783
1000,3,7,1024,2,5,207783
1000,3,7,1024,2,10,207783
1000,3,7,1024,3,0.25,207971
1000,3,7,1024,3,0.5,207895
1000,3,7,1024,3,1,207831
1000,3,7,1024,3,2,207827
1000,3,7,1024,3,5,207817
1000,3,7,1024,3,10,207805
1000,3,7,128,1,0.25,208041
1000,3,7,128,1,0.5,207933
1000,3,7,128,1,1,207827
1000,3,7,128,1,2,207827
1000,3,7,128,1,5,207827
1000,3,7,128,1,10,207827
1000,3,7,128,2,0.25,207941
1000,3,7,128,2,0.5,207941
1000,3,7,128,2,1,207889
1000,3,7,128,2,2,207825
1000,3,7,128,2,5,207825
1000,3,7,128,2,10,207825
1000,3,7,128,3,0.25,207951
1000,3,7,128,3,0.5,207858
1000,3,7,128,3,1,207858
1000,3,7,128,3,2,207837
1000,3,7,128,3,5,207837
1000,3,7,128,3,10,207809
1000,3,7,2048,1,0.25,208041
1000,3,7,2048,1,0.5,207905
1000,3,7,2048,1,1,207838
1000,3,7,2048,1,2,207799
1000,3,7,2048,1,5,207799
1000,3,7,2048,1,10,207799
1000,3,7,2048,2,0.25,208035
1000,3,7,2048,2,0.5,207881
1000,3,7,2048,2,1,207881
1000,3,7,2048,2,2,207857
1000,3,7,2048,2,5,207813
1000,3,7,2048,2,10,207800
1000,3,7,2048,3,0.25,208057
1000,3,7,2048,3,0.5,207913
1000,3,7,2048,3,1,207879
1000,3,7,2048,3,2,207827
1000,3,7,2048,3,5,207789
1000,3,7,2048,3,10,207789
1000,3,7,256,1,0.25,207933
1000,3,7,256,1,0.5,207933
1000,3,7,256,1,1,207897
1000,3,7,256,1,2,207847
1000,3,7,256,1,5,207845
1000,3,7,256,1,10,207819
1000,3,7,256,2,0.25,207917
1000,3,7,256,2,0.5,207917
1000,3,7,256,2,1,207847
1000,3,7,256,2,2,207841
1000,3,7,256,2,5,207811
1000,3,7,256,2,10,207804
1000,3,7,256,3,0.25,207893
1000,3,7,256,3,0.5,207863
1000,3,7,256,3,1,207819
1000,3,7,256,3,2,207819
1000,3,7,256,3,5,207801
1000,3,7,256,3,10,207787
1000,3,7,4096,1,0.25,208137
1000,3,7,4096,1,0.5,208029
1000,3,7,4096,1,1,207929
1000,3,7,4096,1,2,207893
1000,3,7,4096,1,5,207817
1000,3,7,4096,1,10,207787
1000,3,7,4096,2,0.25,208115
1000,3,7,4096,2,0.5,208021
1000,3,7,4096,2,1,207855
1000,3,7,4096,2,2,207831
1000,3,7,4096,2,5,207813
1000,3,7,4096,2,10,207805
1000,3,7,4096,3,0.25,208166
1000,3,7,4096,3,0.5,208052
1000,3,7,4096,3,1,207977
1000,3,7,4096,3,2,207875
1000,3,7,4096,3,5,207787
1000,3,7,4096,3,10,207787
1000,3,7,512,1,0.25,207911
1000,3,7,512,1,0.5,207859
1000,3,7,512,1,1,207847
1000,3,7,512,1,2,207824
1000,3,7,512,1,5,207824
1000,3,7,512,1,10,207781
1000,3,7,512,2,0.25,207907
1000,3,7,512,2,0.5,207907
1000,3,7,512,2,1,207833
1000,3,7,512,2,2,207800
1000,3,7,512,2,5,207800
1000,3,7,512,2,10,207794
1000,3,7,512,3,0.25,207983
1000,3,7,512,3,0.5,207911
1000,3,7,512,3,1,207888
1000,3,7,512,3,2,207857
1000,3,7,512,3,5,207823
1000,3,7,512,3,10,207809
1000,3,7,64,1,0.25,207975
1000,3,7,64,1,0.5,207927
1000,3,7,64,1,1,207911
1000,3,7,64,1,2,207842
1000,3,7,64,1,5,207823
1000,3,7,64,1,10,207823
1000,3,7,64,2,0.25,207884
1000,3,7,64,2,0.5,207845
1000,3,7,64,2,1,207845
1000,3,7,64,2,2,207845
1000,3,7,64,2,5,207845
1000,3,7,64,2,10,207845
1000,3,7,64,3,0.25,207985
1000,3,7,64,3,0.5,207985
1000,3,7,64,3,1,207936
1000,3,7,64,3,2,207867
1000,3,7,64,3,5,207845
1000,3,7,64,3,10,207843
1000,3,8,1024,1,0.25,207881
1000,3,8,1024,1,0.5,207845
1000,3,8,1024,1,1,207771
1000,3,8,1024,1,2,207771
1000,3,8,1024,1,5,207771
1000,3,8,1024,1,10,207761
1000,3,8,1024,2,0.25,207881
1000,3,8,1024,2,0.5,207825
1000,3,8,1024,2,1,207807
1000,3,8,1024,2,2,207799
1000,3,8,1024,2,5,207764
1000,3,8,1024,2,10,207763
1000,3,8,1024,3,0.25,207859
1000,3,8,1024,3,0.5,207801
1000,3,8,1024,3,1,207777
1000,3,8,1024,3,2,207777
1000,3,8,1024,3,5,207777
1000,3,8,1024,3,10,207745
1000,3,8,128,1,0.25,207889
1000,3,8,128,1,0.5,207811
1000,3,8,128,1,1,207811
1000,3,8,128,1,2,207808
1000,3,8,128,1,5,207789
1000,3,8,128,1,10,207781
1000,3,8,128,2,0.25,207834
1000,3,8,128,2,0.5,207834
1000,3,8,128,2,1,207831
1000,3,8,128,2,2,207797
1000,3,8,128,2,5,207797
1000,3,8,128,2,10,207762
1000,3,8,128,3,0.25,207821
1000,3,8,128,3,0.5,207821
1000,3,8,128,3,1,207791
1000,3,8,128,3,2,207791
1000,3,8,128,3,5,207787
1000,3,8,128,3,10,207730
1000,3,8,2048,1,0.25,207979
1000,3,8,2048,1,0.5,207860
1000,3,8,2048,1,1,207795
1000,3,8,2048,1,2,207795
1000,3,8,2048,1,5,207771
1000,3,8,2048,1,10,207758
1000,3,8,2048,2,0.25,207921
1000,3,8,2048,2,0.5,207781
1000,3,8,2048,2,1,207781
1000,3,8,2048,2,2,207781
1000,3,8,2048,2,5,207747
1000,3,8,2048,2,10,207747
1000,3,8,2048,3,0.25,207825
1000,3,8,2048,3,0.5,207825
1000,3,8,2048,3,1,207788
1000,3,8,2048,3,2,207760
1000,3,8,2048,3,5,207760
1000,3,8,2048,3,10,207739
1000,3,8,256,1,0.25,207853
1000,3,8,256,1,0.5,207853
1000,3,8,256,1,1,207793
1000,3,8,256,1,2,207782
1000,3,8,256,1,5,207730
1000,3,8,256,1,10,207730
1000,3,8,256,2,0.25,207809
1000,3,8,256,2,0.5,207809
